District,Year-Month,Total_Precipitation_mm,Mean_Temperature_C
Kilinochchi[1],2010-09,84.10,27.76
Kilinochchi[1],2010-10,200.60,27.46
Kilinochchi[1],2010-11,305.10,25.96
Kilinochchi[1],2010-12,551.20,24.91
Kilinochchi[1],2011-01,381.80,24.58
Kilinochchi[1],2011-02,225.40,25.24
Kilinochchi[1],2011-03,13.90,27.15
Kilinochchi[1],2011-04,111.00,27.92
Kilinochchi[1],2011-05,2.20,29.23
Kilinochchi[1],2011-06,4.80,29.70
Kilinochchi[1],2011-07,28.80,28.90
Kilinochchi[1],2011-08,24.30,28.64
Kilinochchi[1],2011-09,11.10,29.02
Kilinochchi[1],2011-10,254.00,27.48
Kilinochchi[1],2011-11,270.00,25.79
Kilinochchi[1],2011-12,111.00,25.36
Kilinochchi[1],2012-01,19.00,24.90
Kilinochchi[1],2012-02,12.10,26.13
Kilinochchi[1],2012-03,9.60,27.92
Kilinochchi[1],2012-04,36.80,28.90
Kilinochchi[1],2012-05,0.70,29.98
Kilinochchi[1],2012-06,0.90,29.64
Kilinochchi[1],2012-07,20.10,29.49
Kilinochchi[1],2012-08,11.10,29.00
Kilinochchi[1],2012-09,25.00,29.28
Kilinochchi[1],2012-10,485.70,26.94
Kilinochchi[1],2012-11,134.20,26.10
Kilinochchi[1],2012-12,133.00,25.57
Kilinochchi[1],2013-01,90.20,25.35
Kilinochchi[1],2013-02,56.70,25.88
Kilinochchi[1],2013-03,41.30,27.24
Kilinochchi[1],2013-04,12.30,29.66
Kilinochchi[1],2013-05,19.30,29.92
Kilinochchi[1],2013-06,13.10,29.03
Kilinochchi[1],2013-07,14.40,28.68
Kilinochchi[1],2013-08,36.80,28.49
Kilinochchi[1],2013-09,45.60,28.21
Kilinochchi[1],2013-10,64.70,28.37
Kilinochchi[1],2013-11,151.50,26.15
Kilinochchi[1],2013-12,122.00,25.19
Kilinochchi[1],2014-01,233.20,24.66
Kilinochchi[1],2014-02,12.60,25.68
Kilinochchi[1],2014-03,5.70,27.62
Kilinochchi[1],2014-04,21.50,29.27
Kilinochchi[1],2014-05,102.80,28.89
Kilinochchi[1],2014-06,3.90,30.38
Kilinochchi[1],2014-07,5.90,29.83
Kilinochchi[1],2014-08,40.40,28.67
Kilinochchi[1],2014-09,68.00,28.93
Kilinochchi[1],2014-10,200.90,26.93
Kilinochchi[1],2014-11,327.20,25.69
Kilinochchi[1],2014-12,458.20,25.01
Kilinochchi[1],2015-01,15.60,25.26
Kilinochchi[1],2015-02,45.50,25.51
Kilinochchi[1],2015-03,14.10,27.34
Kilinochchi[1],2015-04,48.50,28.32
Kilinochchi[1],2015-05,91.40,28.49
Kilinochchi[1],2015-06,13.90,29.27
Kilinochchi[1],2015-07,16.50,29.36
